X,Y,Plant_Code,Plant_Name,State,Zip,PrimSource
-73.335,42.01,63262,Becton Canaan,Connecticut,6018,solar
-78.138207,39.06485,61374,Hecate Energy Clarke County LLC,Virginia,22663,solar
-75.917171,37.37,61375,Hecate Energy Cherrydale LLC,Virginia,23310,solar
-75.218545,39.409744,62739,KDC Solar ASGM,New Jersey,8302,solar
-73.506672,40.64889,61376,Cedar Creek PV,New York,11783,solar
-93.11627,44.67413,62740,"MSC-Empire01, LLC",Minnesota,55024,solar
-121.166326,37.468888,61377,Amazon - Patterson PV,California,95363,solar
-71.905,41.679,63263,Plainfield Solar 2,Connecticut,6374,solar
-76.476728,40.10846,62741,Mount Joy Wire,Pennsylvania,17552,natural gas
-73.725695,41.196839,61378,Northern Westchester Hospital,New York,10549,petroleum
-71.9371,42.1189,63264,Partridge Hill Solar Hybrid,Massachusetts,1507,solar
-92.69,44.040418,61379,DodgeSun CSG,Minnesota,55944,solar
-77.513,35.759,63266,Penny Hill Solar,North Carolina,27834,solar
-96.187032,43.912138,61380,Johnson Solar CSG,Minnesota,56178,solar
-77.291111,35.815556,63267,"Meeks Solar, LLC",North Carolina,27871,solar
-91.458244,44.243436,62744,Arcadia Solar,Wisconsin,54612,solar
-93.876267,44.182609,61381,Koppelman Sun CSG,Minnesota,56024,solar
-96.929945,45.0054,63269,Crowned Ridge Wind II Energy Center,South Dakota,57201,wind
-92.796599,45.319892,61382,Lindstrom Solar CSG,Minnesota,55045,solar
-94.28907,44.259504,61383,Rengstorf Solar CSG,Minnesota,56021,solar
-79.79,35.6,63270,"Strider Solar, LLC",North Carolina,27205,solar
-80.634174,33.335583,63271,Huntley,South Carolina,29018,solar
-119.6338,45.55975,62745,Wheatridge Hybrid,Oregon,97843,wind
-94.121314,45.477397,61384,St. Cloud Solar CSG,Minnesota,56301,solar
-74.314421,40.237803,62746,KDC Solar CSCP LLC,New Jersey,7728,solar
-83.76564,33.964988,61385,Georgia LFG Oak Grove Plant,Georgia,30680,biomass
-83.948553,37.677484,62747,Matilda Hamilton Fee Hydroelectric Station,Kentucky,40472,hydroelectric
-84.122025,33.244192,61386,Georgia LFG Pine Ridge Plant,Georgia,30223,biomass
-82.410644,27.679868,62750,Little Manatee River Solar,Florida,33570,solar
-84.61256,41.192377,62752,LafargeHolcim - Paulding Wind Project,Ohio,45879,wind
-84.033376,34.127146,61387,Georgia LFG Richland Creek Plant,Georgia,30288,biomass
-95.651111,29.149166,62753,Prospect Storage,Texas,77486,batteries
-81.686443,30.523647,61388,AEP Jacksonville Solar Project,Florida,32218,solar
-117.1933,32.7338,62754,San Diego International Airport BESS,California,92101,batteries
-78.95,36.464,63272,"Woodsdale Farm, LLC",North Carolina,27574,solar
-78.17952,42.618969,61389,Letchworth Solar Project,New York,14406,solar
-95.658144,29.242304,63273,Wagyu,Texas,77430,solar
-102.840399,32.287873,62755,Prospero Solar,Texas,79714,solar
-88.614009,46.792669,61391,A.J. Mihm Generating Station,Michigan,49958,natural gas
-106.547222,35.152721,62756,RC Energy AA LLC Solar Facility,New Mexico,87109,solar
-70.958393,41.931838,62757,Bridgewater Complex Co-Generation Plant,Massachusetts,1757,natural gas
-87.510741,46.512697,61392,F.D. Kuester Generating Station,Michigan,49866,natural gas
-77.65,36.59,62758,Meherrin Solar,Virginia,23879,solar
-104.58591,39.777621,63276,Mtn. Solar 1,Colorado,80137,solar
-85.031,31.138,61397,Georgia Power at Jakin GA PV,Georgia,39861,solar
-104.59054,39.766772,63277,Mtn. Solar 2,Colorado,80137,solar
-72.65,42.009,61398,Canis Major Solar Farm,Connecticut,6078,solar
-104.583391,39.784879,63278,CO LI CSG 1 - Kamerra,Colorado,80137,solar
-74.622,41.356,62759,Greenville CSG,New York,2839,solar
