PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
61066,WTG1,1.900000989654024,449,Onshore Wind Turbine,0.825637659,1.9,0,0,23.8842105,-22.5631579,34.691,-118.221
61107,VRF,2.0000009205291196,8758,Batteries,2.00001401,2.0,0,0,0.0,0.0,32.682506,-116.988781
61115,MANT1,1.2929227313846607,1146,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,37.84013,-121.216191
61116,DELA1,1.2929227319592675,1418,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,35.761217,-119.344408
61117,BAKE1,6.8524862108852735,240,Solar Photovoltaic,4.81364991,6.85248522,0,0,10.2,-7.0,35.324982,-118.981522
61118,BIND1,1.2929227308852742,240,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,35.330032,-118.993119
61152,PV1,6.723194041351645,909,Solar Photovoltaic,4.72282632,6.72319305,0,0,10.2,-7.0,38.645961,-121.162623
61153,AT057,-9.799737039983312e-07,2300,Other Natural Gas,0.0,1.3,0,0,0.0,0.0,37.417638,-121.94453
61154,AT058,-9.739672867657735e-07,1867,Other Natural Gas,0.0,1.3,0,0,0.0,0.0,33.836439,-117.916893
61209,PV1,4.525227081410713,957,Solar Photovoltaic,3.17882541,4.52522609,0,0,10.2,-7.0,38.448604,-121.46369
61215,GBWXC,3.8787662095879667,456,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,34.597,-117.931
61216,GBWXD,3.878766209618091,478,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,34.654976,-118.08215
61222,1,46.00000099138531,2305,Onshore Wind Turbine,19.9891223,46.0,0,0,23.8842105,-22.5631579,37.769189,-121.630163
61249,W5531,3.7494740420258488,1703,Solar Photovoltaic,2.63388391,3.74947305,0,0,10.2,-7.0,33.766067,-118.288925
61250,USPS1,13.83426359291092,2068,Solar Photovoltaic,9.7181234,13.8342626,0,0,10.2,-7.0,33.977922,-118.2587
61264,ANTX2,135.75678434722337,407,Solar Photovoltaic,95.3647623,135.756783,0,0,10.2,-7.0,34.744977,-118.309153
61265,ADSR3,25.858435789655537,407,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.736859,-118.304071
61319,W4885,1.4222149020258483,1703,Solar Photovoltaic,0.999059415,1.42221391,0,0,10.2,-7.0,33.727977,-118.280032
61339,GBWXB,3.8787662095738544,491,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,34.688042,-117.989541
61348,W5691,2.9737209920258483,1703,Solar Photovoltaic,2.08894241,2.97372,0,0,10.2,-7.0,33.764227,-118.288925
61349,W5694,2.8444288220258485,1703,Solar Photovoltaic,1.99811883,2.84442783,0,0,10.2,-7.0,33.764227,-118.284733
61418,VAL1,3.878766211190427,207,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,33.04358,-115.62779
61419,OTP,2.5858444695879665,456,Solar Photovoltaic,1.81647166,2.58584348,0,0,10.2,-7.0,34.615622,-117.936594
61420,MRCD1,3.878766211369838,603,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,36.989475,-120.878081
61421,MDRA1,1.939383601375183,576,Solar Photovoltaic,1.36235375,1.93938261,0,0,10.2,-7.0,37.056468,-120.167021
61442,WTG1,1.8000009913783965,634,Onshore Wind Turbine,0.782183045,1.8,0,0,23.8842105,-22.5631579,36.464,-121.382
61443,WTG1,1.8000009913789166,638,Onshore Wind Turbine,0.782183045,1.8,0,0,23.8842105,-22.5631579,36.504,-121.454
61444,WTG1,1.8000009913783965,634,Onshore Wind Turbine,0.782183045,1.8,0,0,23.8842105,-22.5631579,36.474,-121.371
