,PlantCode,GenID,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon,pow_gen,gen_carbon_emission_rate
299,50748,GEN2,1533,Natural Gas Fired Combined Cycle,7.60005455,7.6,0,0,17.6,-10.7,37.4058,-121.9272,7.600000968,0.44
300,50750,GEN1,1920,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,36.170317,-120.364084,3.400000996,0.44
301,50750,GEN2,1920,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,36.170317,-120.364084,3.400000996,0.44
302,50751,GTG1,2196,Natural Gas Fired Combustion Turbine,7.70487614,24.0,0,0,11.6,-8.0,35.4206,-118.9644,24.00000098,0.44
303,50751,GTG2,2196,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,35.4206,-118.9644,3.400000981,0.44
304,50751,GTG3,2196,Natural Gas Fired Combustion Turbine,3.40002494,3.4,0,0,24.5645161,-14.3219355,35.4206,-118.9644,3.400000981,0.44
305,50831,GEN1,1600,Landfill Gas,0.0,1.0,0,0,23.1666667,-13.7,37.9676,-122.382,1.000000809,0.11
306,50831,GEN2,1600,Landfill Gas,0.0,1.0,0,0,23.1666667,-13.7,37.9676,-122.382,1.000000809,0.11
307,50831,GEN3,1600,Landfill Gas,0.0,1.0,0,0,23.1666667,-13.7,37.9676,-122.382,1.000000809,0.11
308,50849,GEN1,2136,Natural Gas Fired Combined Cycle,23.0001698,23.0,0,0,14.3,-7.7,37.870331,-122.26337,23.00000069,0.44
309,50849,GEN2,2136,Natural Gas Fired Combined Cycle,5.50003923,5.5,0,0,17.7,-9.5,37.870331,-122.26337,5.500000691,0.44
310,50850,GEN1,1847,Natural Gas Fired Combined Cycle,23.5001735,23.5,0,0,17.6,-7.8,33.989626,-117.680911,23.50000099,0.44
311,50850,GEN2,1847,Natural Gas Fired Combined Cycle,7.30005228,7.3,0,0,23.1,-10.3,33.989626,-117.680911,7.300000988,0.44
312,50851,GEN1,1455,Natural Gas Fired Combined Cycle,23.5001735,23.5,0,0,11.4,-7.8,34.161951,-119.047916,23.50000098,0.44
313,50851,GEN2,1455,Natural Gas Fired Combined Cycle,7.60005455,7.6,0,0,17.2,-10.4,34.161951,-119.047916,7.600000981,0.44
314,50865,K100,653,Natural Gas Fired Combustion Turbine,38.9002871,38.9,0,0,0.0,0.0,35.9515,-120.8679,25.70299048,0.44
315,50963,4TG,1123,Natural Gas Fired Combustion Turbine,5.30003898,5.3,0,0,24.5645161,-14.3219355,32.7261,-117.1464,5.300000995,0.44
316,50964,IND,1576,Geothermal,1.50001108,1.5,0,0,13.1222222,-7.60444444,40.300833,-120.105,1.500000949,0.038
317,50964,SYN,1576,Geothermal,1.50001108,1.5,0,0,13.1222222,-7.60444444,40.300833,-120.105,1.500000949,0.038
318,50985,3163,1333,Natural Gas Internal Combustion Engine,1.00000733,1.0,0,0,61.5666667,-27.3666667,38.2494,-122.0394,1.000000871,0.44
